980907125802	119	197
980323135388	141	175
001012100346	158	179
980904017291	92	172
780616145209	72	161
990727086788	149	158
000514070146	131	160
000424141190	62	187
000203080347	104	189
990615089861	160	166
000129020628	129	140
990822145037	60	148
000411100808	64	151
000519070508	153	157
000501020318	143	141
971109025757	163	110
971003075326	75	164
960430135238	154	197
990816086499	96	177
990919075119	94	181
000620081156	152	171
960525076111	152	140
960325086200	100	185
991012036167	100	188
000720010013	118	161
980813075699	116	196
991013075707	74	162
000510070624	65	195
990928095015	126	166
000112030504	110	157
990609365735	126	195
000320100909	56	157
991016145416	139	168
990713145177	70	150
991113035462	153	158
001119020944	59	168
960323025826	75	180
980627145032	61	177
991209075143	122	187
000523070658	132	189
990909035113	102	170
990902076051	54	169
991209065172	138	174
991025086788	70	187
991225016370	147	171
990523075059	145	198
991221085248	108	194
991213145423	137	142
991031085861	108	144
991025066277	117	177
991211055408	131	196
000312060564	149	153
000202021193	61	149
991123076014	136	187
991221075410	119	185
991228066015	94	141
991025086569	97	162
991209135820	151	167
990818035759	124	159
990530025113	140	192
991209115395	105	165
980201145342	123	168
991117086072	110	167
991218015468	149	197
961024075764	90	168
991206076351	100	154
990712089070	111	155
991206016113	85	141
991125106643	135	167
990915025966	108	145
001212020914	82	164
990703125316	140	168
990930605029	123	163
991027035909	73	180
991205036227	134	161
980815075991	89	187
000725070517	126	182
000211081630	74	157
991117105798	80	188
991015136016	54	154
991205146215	95	158
990507065563	108	192
990906106094	99	199
990904086667	85	167
990928105498	151	193
991103015601	80	165
990903055236	105	181
990924036202	117	177
991109055938	106	156
990925086033	57	165
990416076363	155	161
991115085578	67	151
990926025742	144	166
000428110324	159	163
991127026137	84	182
990923146645	149	180
991002075648	151	182
990712088852	160	184
000624020844	81	185
991205105528	150	183
991014086766	111	172
990715136004	103	179
000504010254	152	179
980125355128	118	186
990707088831	66	149
991216075256	156	190
991020076142	78	181
990620075122	60	150
991001106051	79	140
991030145252	109	176
991013015667	125	197
980529145100	111	194
980917086421	127	178
991030136217	146	140
990731075678	102	187
000608010240	114	197
000329020470	67	172
980128355051	105	172
001023070808	96	172
991016085185	106	194
990911085144	79	145
990608145896	52	140
990729015844	160	168
991201135121	98	195
980114125650	105	190
001006141459	122	188
990627088153	106	181
990608036438	50	196
000904080059	76	185
910824086488	80	141
991001105390	143	182
991127145312	155	171
991101086625	156	176
990723086836	84	182
990102035614	139	160
981013085826	156	170
970127085820	122	176
000620031378	80	140
000915101345	51	151
000316070276	97	169
000418100333	111	154
000219140842	139	172
000507080338	52	178
981029026687	88	143
980409086222	104	159
000918110538	135	175
990910026054	115	194
990813135873	90	192
991106136089	87	168
000625060530	120	175
000211080128	145	144
981006105251	70	164
990618146489	154	159
810901075224	136	194
991004085217	104	146
990819146442	96	158
991212075021	138	187
991223025257	115	168
990917015518	101	192
000401070588	54	191
980528025756	96	183
000628020024	83	190
000506100886	121	153
840917075074	117	178
000413080492	95	190
980420055494	140	185
990909085014	76	184
000519070786	54	193
000520101885	81	195
000228010572	110	157
000108110368	104	195
000006830964	96	174
970715105189	54	176
990801106901	135	190
000727030201	80	159
000321080460	139	185
840516136016	51	153
001231020151	111	181
960505026264	104	165
990727136183	157	146
990331146617	105	154
990108107252	50	190
000514081419	103	169
970805025318	51	181
980409086134	117	145
000626070896	108	149
980423075386	154	178
990325125617	156	199
001101080527	79	191
000196979740	87	189
000817060869	101	192
990102075544	69	195
000107070376	107	153
990102026806	69	142
970708026001	135	168
971205036026	140	166
000207010987	92	147
000508020337	90	174
980303035750	50	198
000112020664	110	185
